year,GBR,ITA,PER,SWE,USA
1800,3277,2778,1120,1447,1980
1801,3285,2743,1060,1435,2017
1802,3295,2832,1062,1502,2050
1803,3188,2911,1041,1487,2015
1804,3142,3036,1035,1390,2014
1805,3283,2938,1065,1479,2056
1806,3223,3009,1100,1495,2094
1807,3387,3018,1110,1433,2114
1808,3187,3187,1090,1357,1965
1809,3244,3204,1080,1295,2062
1810,3410,2956,1087,1399,2120
1811,3331,2858,1015,1503,2163
1812,3145,2920,1023,1407,2125
1813,3264,3000,989,1433,2149
1814,3142,3036,968,1444,2190
1815,3421,2903,941,1495,2180
1816,3188,2858,959,1524,2092
1817,3190,2885,938,1480,2091
1818,3139,3107,940,1492,2097
1819,3043,3080,918,1479,2092
1820,3241,3080,883,1500,2080
1821,3243,3027,727,1545,2113
1822,3251,3062,693,1552,2171
1823,3294,3089,717,1535,2147
1824,3424,3169,690,1577,2205
1825,3453,3125,709,1619,2254
1826,3226,3213,675,1623,2270
1827,3430,3160,719,1547,2279
1828,3393,3125,713,1574,2279
1829,3375,3116,698,1596,2204
1830,3481,3071,707,1557,2364
1831,3476,3178,711,1587,2509
1832,3542,3204,693,1545,2600
1833,3529,3222,724,1593,2691
1834,3569,3249,744,1614,2562
1835,3786,3338,768,1608,2660
1836,3861,3098,808,1660,2699
1837,3782,3018,850,1647,2614
1838,3885,3062,858,1621,2591
1839,3806,3036,841,1639,2717
1840,3940,3133,876,1662,2583
1841,3818,3196,940,1641,2529
1842,3734,3222,924,1564,2507
1843,3873,3062,891,1598,2547
1844,4163,3062,871,1667,2685
1845,4301,3089,937,1706,2728
1846,4250,3062,901,1647,2743
1847,4152,2991,993,1690,2816
1848,4276,3071,1031,1708,2888
1849,4336,3054,1050,1771,2814
1850,4248,3018,999,1818,2825
1851,4390,3018,1150,1782,2940
1852,4535,2974,1073,1744,3089
1853,4642,2911,1227,1767,3300
1854,4814,2716,1296,1785,3310
1855,4656,2743,1377,1896,3237
1856,4915,2752,1315,1876,3305
1857,4921,2974,1523,1928,3233
1858,4784,3089,1417,1951,3248
1859,4933,2991,1384,2021,3336
1860,4988,2974,1388,2058,3425
1861,4926,2956,1307,1977,3354
1862,4672,2994,1291,1916,3459
1863,5064,3066,1416,1999,3683
1864,5153,3071,1351,2035,3804
1865,5229,3256,1340,2070,3607
1866,5345,3250,1395,2036,3579
1867,5319,2968,1391,2066,3697
1868,5526,3028,1386,1881,3745
1869,5525,3067,1556,2015,3845
1870,5716,3143,1772,2272,3736
1871,5684,3073,1847,2351,3825
1872,5657,3005,1872,2393,3883
1873,5729,2989,1858,2421,3980
1874,5760,3144,1879,2512,3862
1875,5834,3160,1721,2423,3971
1876,5823,3082,1894,2576,3928
1877,5808,3102,1731,2518,3966
1878,5764,3180,1496,2428,4044
1879,5674,3189,1262,2562,4446
1880,5879,3239,909,2501,4866
1881,6027,3337,829,2591,4914
1882,6147,3378,878,2495,5101
1883,6142,3408,804,2684,5102
1884,6099,3357,965,2626,5074
1885,6012,3406,903,2673,4997
1886,6050,3481,945,2699,5034
1887,6235,3569,873,2619,5147
1888,6457,3550,967,2662,5015
1889,6743,3442,952,2701,5216
1890,6711,3444,894,2763,5184
1891,6648,3490,952,2913,5299
1892,6426,3494,978,2875,5697
1893,6360,3549,913,2946,5316
1894,6718,3569,838,2958,5064
1895,6859,3598,887,3102,5569
1896,7070,3652,970,3183,5356
1897,7088,3658,1043,3308,5761
1898,7354,3643,1093,3421,5776
1899,7578,3683,1135,3505,6191
1900,7446,3781,1147,3519,6252
1901,7370,3843,1215,3610,6822
1902,7486,3904,1276,3563,6756
1903,7337,3939,1345,3750,6955
1904,7311,4008,1373,3814,6739
1905,7456,4091,1455,3760,7094
1906,7631,4229,1552,4060,7762
1907,7702,4304,1629,4331,7740
1908,7316,4395,1639,4197,6970
1909,7410,4430,1646,4219,7668
1910,7567,4435,1653,4296,7586
1911,7721,4483,1668,4403,7711
1912,7800,4487,1705,4570,7948
1913,8052,4698,1740,4856,8101
1914,7973,4442,1707,4959,7334
1915,8471,4219,1831,5131,7434
1916,8532,4566,1996,5415,8342
1917,8496,4581,2044,5086,8020
1918,8462,4465,2031,4700,8648
1919,7456,4286,2072,4772,8681
1920,6881,4388,2067,5075,8485
1921,6660,4239,2119,4814,8134
1922,7247,4548,2266,5159,8466
1923,7439,4920,2385,5324,9420
1924,7691,5008,2568,5687,9525
1925,8041,5305,2596,5817,9601
1926,7715,5300,2815,6100,10090
1927,8307,5159,2821,6298,10050
1928,8373,5435,2957,6478,10040
1929,8601,5663,3215,6864,10543
1930,8504,5363,2803,7159,9490
1931,8031,5257,2535,6976,8864
1932,8047,5331,2398,6703,7525
1933,8248,5229,2626,6814,7270
1934,8764,5174,2933,7255,7876
1935,9064,5410,3157,7588,8850
1936,9433,5178,3255,7840,9718
1937,9718,5651,3246,8033,10450
1938,9794,5769,3244,8280,9797
1939,9788,6076,3210,8871,10459
1940,10716,5905,3220,8202,11307
1941,11694,5753,3169,7960,12844
1942,11939,5398,3045,8009,14175
1943,12103,4553,3041,8245,15392
1944,11574,3663,3246,8466,16401
1945,11028,3279,3310,8692,15992
1946,10543,4406,3379,9538,14471
1947,10322,5209,3416,10291,14057
1948,10543,5575,3469,10410,14559
1949,10871,6010,3668,10733,14112
1950,10846,6465,3889,11385,15241
1951,11134,6902,4088,11740,16126
1952,11083,7380,4192,11819,16443
1953,11481,7864,4346,12070,16917
1954,11909,8214,4353,12505,16513
1955,12298,8632,4555,12781,17370
1956,12392,8970,4637,13173,17398
1957,12530,9449,4735,13672,17407
1958,12450,9896,4623,13655,16945
1959,12878,10437,4521,14002,17901
1960,13512,10922,5004,14677,18058
1961,13843,11766,5295,15436,18175
1962,13856,12604,5529,15997,18977
1963,14300,13408,5620,16754,19515
1964,14954,13822,5840,17765,20360
1965,15241,14028,6057,18272,21390
1966,15450,14663,6385,18475,22529
1967,15706,15607,6456,18954,22842
1968,16270,16810,6211,19532,23692
1969,16492,17661,6196,20366,24196
1970,16829,17942,6496,21483,23958
1971,17101,18165,6599,21538,24395
1972,17652,18573,6623,21966,25415
1973,18795,19632,6780,22796,26603
1974,18535,20393,6942,23457,26287
1975,18517,19831,7291,23962,25956
1976,18935,21019,7197,24128,27059
1977,19355,21541,7006,23658,28001
1978,20049,22273,6824,24002,29287
1979,20580,23483,7046,24870,29951
1980,20211,24276,7184,25234,29613
1981,19924,24369,7318,25200,30056
1982,20248,24466,7158,25439,29211
1983,20951,24723,6057,25873,30159
1984,21444,25328,6195,26876,32076
1985,22139,26024,6178,27349,33024
1986,23041,26762,6650,27884,33851
1987,24059,27593,7065,28634,34730
1988,25179,28658,6348,29113,35865
1989,25654,29482,5455,29606,36757
1990,25679,30117,5070,29749,36982
1991,25314,30559,5074,29187,36464
1992,25336,30793,4942,28668,37241
1993,25909,30512,5094,27917,37762
1994,26847,31162,5609,28832,38808
1995,27447,32061,5914,29811,39391
1996,28075,32464,5973,30243,40414
1997,28879,33043,6256,31043,41723
1998,29714,33567,6135,32330,43073
1999,30587,34085,6137,33810,44576
2000,31619,35333,6217,35261,45887
2001,32356,35939,6172,35640,45878
2002,32992,35975,6426,36467,46267
2003,33977,35870,6611,37252,47158
2004,34638,36202,6857,38760,48493
2005,35424,36367,7205,39917,49655
2006,36045,36985,7662,41564,50490
2007,36679,37341,8225,42872,50902
2008,36163,36705,8883,42542,50276
2009,34338,34535,8883,40339,48453
2010,34722,35010,9533,42753,49267
2011,34971,35151,10044,42079,49675
2012,35185,34068,10533,41650,50394
2013,35618,33094,11034,41811,50863
2014,36436,32829,11186,42476,51664
2015,36941,33118,11445,43746,52591
2016,37334,33419,11776,44659,53015
